code,name,street,lat,lon
1012,Hotel Grand Pacific,Victoria St,1.296848255,103.8525359
1013,St. Joseph's Ch,Victoria St,1.297709706,103.8532247
1019,Bras Basah Cplx,Victoria St,1.296989512,103.853022
1029,Opp Natl Lib,Nth Bridge Rd,1.296672985,103.8544142
1039,Bugis Cube,Nth Bridge Rd,1.298207841,103.8554914
1059,Bugis Stn Exit B,Victoria St,1.300756795,103.8561104
1109,Queen St Ter,Queen St,1.303585776,103.8565037
1112,Opp Bugis Stn Exit C,Victoria St,1.300092128,103.8552003
1113,Bugis Stn Exit A,Victoria St,1.301172975,103.856114
1119,Aft Bugis Stn Exit C,Victoria St,1.299604109,103.8551293
1121,Aft Victoria Ln,Victoria St,1.303938097,103.85868
1129,Bef Jln Pisang,Victoria St,1.303502692,103.8586453
1139,Bugis Stn/Parkview Sq,Nth Bridge Rd,1.300330579,103.8571608
1211,Opp Blk 461,Victoria St,1.305518035,103.860545
1219,Blk 461,Victoria St,1.305265985,103.8607202
1229,Bef Sultan Mque,Nth Bridge Rd,1.303375526,103.8596309
1231,Opp Textile Ctr,Jln Sultan,1.30325,103.8610831
1239,Sultan Plaza,Jln Sultan,1.302912366,103.8616182
1311,Lavender Stn Exit B,Kallang Rd,1.307091646,103.862197
1319,Lavender Stn Exit A/ICA,Kallang Rd,1.307574267,103.863256
1329,Blk 8,Nth Bridge Rd,1.304956702,103.8636303
1339,Bef Crawford Bridge,Crawford St,1.307746017,103.8642627
1341,Southbank,Crawford St,1.306475556,103.8645253
1349,Opp Blk 4,Crawford St,1.305686357,103.8654399
1411,Opp St. John HQ,Beach Rd,1.302113329,103.862956
1419,St. John HQ,Beach Rd,1.30202,103.8632633
1421,Opp Golden Mile Cplx,Beach Rd,1.303384444,103.8648389
1429,Golden Mile Cplx,Beach Rd,1.303213609,103.8650158
1511,Opp The Gateway,Beach Rd,1.299198261,103.8586452
1519,The Gateway,Beach Rd,1.299074925,103.8589103
1521,Opp Plaza Parkroyal,Beach Rd,1.300883044,103.860661
1529,Plaza Parkroyal,Beach Rd,1.300416677,103.8604412
1541,Bugis Stn Exit D,Rochor Rd,1.298864654,103.8573458
1549,Opp Duo Residences,Ophir Rd,1.300698689,103.8587312
1559,Village Hotel Bugis,Ophir Rd,1.301687311,103.8575292
1611,Aft Raffles Hotel,Beach Rd,1.295272592,103.8553369
1619,Esplanade Stn Exit F,Beach Rd,1.294286942,103.8550381
1621,Opp Shaw Twrs,Beach Rd,1.296958889,103.8565561
1629,Shaw Twrs,Beach Rd,1.297085,103.856894
1631,Aft Beach Rd,Middle Rd,1.296936146,103.8558056
1639,Bef Beach Rd,Middle Rd,1.2973875,103.8555758
2029,Aft Esplanade Stn Exit D,Esplanade Dr,1.290106,103.85464
2049,Raffles Hotel,Bras Basah Rd,1.294520912,103.8540216
2051,The Float @ Marina Bay,Raffles Ave,1.289503056,103.8590339
2061,The Esplanade,Raffles Ave,1.289963889,103.8564039
2089,Promenade Stn/Pan Pacific,Raffles Blvd,1.291526944,103.8592061
2101,Aft S'pore Flyer,Raffles Ave,1.289384838,103.8618315
2111,Esplanade Bridge,Esplanade Dr,1.290955923,103.8545342
2119,Opp War Memorial Pk,Nicoll Highway,1.291844074,103.8553433
2141,Suntec Twr Two,Temasek Blvd,1.295765716,103.8593381
2149,Suntec Twr Three,Temasek Blvd,1.295604598,103.8595553
2151,Suntec Convention Ctr,Temasek Blvd,1.293177763,103.8578462
2159,Opp Suntec Convention Ctr,Temasek Blvd,1.293608112,103.8584067
2161,Aft Promenade Stn Exit C,Temasek Ave,1.292685535,103.8609316
2169,Promenade Stn Exit B,Temasek Ave,1.293338368,103.8607085
2171,Opp The Ritz-Carlton,Temasek Ave,1.2907,103.8609219
2181,Supreme Ct,Parliament Pl,1.289474444,103.8509817
3011,Fullerton Sq,Fullerton Rd,1.285618409,103.8534222
3019,OUE Bayfront,Collyer Quay,1.284245,103.8531081
3021,Prudential Twr,Cecil St,1.282555246,103.849989
3031,Raffles Pl Stn Exit F,Robinson Rd,1.282074922,103.8508607
3041,Telok Ayer Stn Exit A,Cross St,1.281795094,103.8489321
3059,One Raffles Quay,Raffles Quay,1.281111,103.851461
3071,80 Robinson Rd,Robinson Rd,1.279906096,103.8494003
3111,Aft Capital Twr,Robinson Rd,1.277825954,103.8481012
3129,UIC Bldg,Shenton Way,1.278070035,103.8495672
3151,Aft Telok Ayer St,Cecil St,1.278921246,103.8477623
3217,Aft Straits Blvd,Shenton Way,1.275522189,103.8479444
3218,Opp MAS Bldg,Shenton Way,1.274078889,103.8468739
3222,Hub Synergy Pt,Anson Rd,1.273978369,103.8448956
3223,Tanjong Pagar Stn Exit C,Anson Rd,1.275703395,103.8463247
3239,Shenton Way Ter,Shenton Way,1.27464227,103.8475672
3241,Aft Enggor St,Anson Rd,1.27456,103.84537
3331,Bef Marina Gdns Dr,Marina Blvd,1.276633072,103.8607681
3339,Aft Marina Gdns Dr,Central Blvd,1.274985164,103.8595002
3341,Bef Gdns by the Bay,Marina Gdns Dr,1.2795978,103.8643377
3349,Aft Gdns by the Bay,Marina Gdns Dr,1.279656006,103.8647781
3361,Gardens by the Bay Stn Exit 2,Marina Gdns Dr,1.279917,103.868895
3369,Gardens by the Bay Stn Exit 1,Marina Gdns Dr,1.279607721,103.8698745
3371,Gdns by the Bay,Marina Gdns Dr,1.280664793,103.8662696
3381,The Sail,Marina Blvd,1.281626013,103.8530651
3391,Marina Bay Financial Ctr,Marina Blvd,1.280376603,103.8549801
3411,Opp Marina Sth Pier Stn,Marina Coastal Dr,1.271592999,103.863009
3419,Marina Sth Pier Stn,Marina Coastal Dr,1.271276985,103.8629769
3421,Marina Bay Cruise Ctr,Marina Coastal Dr,1.266940903,103.8596478
3501,Marina Bay Sands Theatre,Bayfront Ave,1.285004677,103.8606111
3509,Bayfront Stn Exit B/MBS,Bayfront Ave,1.28315,103.8600439
3511,Aft Bayfront Stn Exit E,Bayfront Ave,1.281947795,103.8589706
3519,Bayfront Stn Exit A,Bayfront Ave,1.281245,103.858848
3529,Downtown Stn Exit E,Central Blvd,1.279399574,103.8527877
3539,Marina Bay Stn,Central Blvd,1.277533055,103.8556161
3549,Shenton Way Stn Exit 3,Park Street,1.277728,103.85045
3579,Opp Downtown Stn,Straits view,1.278832,103.852918
4019,OPP BENCOOLEN STN EXIT B,Bencoolen St,1.298072169,103.8497561
4029,BEF BENCOOLEN STN EXIT A,Bencoolen St,1.299481667,103.8509267
4111,Capitol Bldg,Stamford Rd,1.293954442,103.851391
4121,SMU,Stamford Rd,1.296185441,103.8495803
4142,Armenian Ch,Hill St,1.293098264,103.8496599
4143,Stamford Ct,Hill St,1.294116408,103.8502061
4149,Grand Pk City Hall,Hill St,1.292761324,103.8498374
4151,Cath Of The Good Shepherd,Victoria St,1.295337778,103.8511397
4159,Aft Chijmes,Victoria St,1.29489485,103.8510814
4167,City Hall Stn Exit B,Nth Bridge Rd,1.292500065,103.8514532
4168,Aft City Hall Stn Exit B,Nth Bridge Rd,1.292082215,103.8512599
4179,Aft Bras Basah Stn Exit A,Bras Basah Rd,1.296479163,103.8514716
4211,Clarke Quay,River Valley Rd,1.290436111,103.8471244
4219,Opp Clarke Quay,River Valley Rd,1.290968028,103.8468678
4222,Clarke Quay Stn Exit E,Eu Tong Sen St,1.288989622,103.8470898
4223,Old Hill St Police Stn,Hill St,1.290844761,103.848579
4229,High St Ctr,Hill St,1.290448308,103.8487512
4239,Opp Clarke Quay Stn,New Bridge Rd,1.288827179,103.8474938
4249,Opp The Treasury,Nth Bridge Rd,1.290430394,103.8502622
4251,Opp High St Ctr,Nth Boat Quay,1.289738333,103.8488847
4311,Aft River Valley Rd,Clemenceau Ave,1.294645753,103.8439214
4321,UE Sq,Clemenceau Ave,1.292140008,103.8430365
4329,Opp UE Sq,Clemenceau Ave,1.291970571,103.8432838
4331,BEF FORT CANNING STN,River Valley Rd,1.291839394,103.8450409
4339,FORT CANNING STN EXIT B,River Valley Rd,1.292211,103.845005
5012,Bef Pearl'S Hill Terr,Eu Tong Sen St,1.281545833,103.8408772
5013,Chinatown Stn Exit C,Eu Tong Sen St,1.284069799,103.8429987
5019,Aft Duxton Plain Pk,New Bridge Rd,1.281183889,103.84105
5022,Aft Chinatown Stn Exit D,Eu Tong Sen St,1.285710899,103.844372
5023,Opp Hong Lim Pk,Eu Tong Sen St,1.286929284,103.8454038
5029,Boat Quay,Sth Bridge Rd,1.287122834,103.8481978
5039,New Bridge Ctr,New Bridge Rd,1.282938191,103.8425428
5049,Chinatown Stn Exit E,New Bridge Rd,1.285311148,103.8445507
5059,Hong Lim Pk,New Bridge Rd,1.286764201,103.8457504
5069,Outram Pk Stn Exit 4,New Bridge Rd,1.2802763,103.8402979
5129,Opp One Upp Pickering,Upp Pickering St,1.286011667,103.8463467
5131,Opp Hong Lim Cplx,Upp Cross St,1.284073056,103.8453381
5189,Opp Sri Mariamman Tp,Sth Bridge Rd,1.282091396,103.8452806
5199,Opp Hong Lim Cplx,Sth Bridge Rd,1.284514558,103.8466605
5239,Bef The Pinnacle@Duxton,Neil Rd,1.27854113,103.8415105
5241,Opp Blk 333,Kreta Ayer Rd,1.280719882,103.8422749
5259,Opp Maxwell Stn Exit 3,Neil Rd,1.279794478,103.8426271
5269,Maxwell Stn Exit 2,Sth Bridge Rd,1.280894,103.844567
5271,Opp Fairfield Meth Ch,Tg Pagar Rd,1.279753295,103.8438221
5319,OCBC Ctr,Church St,1.284437,103.849114
5411,Tg Pagar Plaza,Tg Pagar Rd,1.275191657,103.8430919
5419,The Amara,Tg Pagar Rd,1.274706695,103.8431868
5421,Aft Craig Rd,Tg Pagar Rd,1.277774706,103.8434635
5429,Bef Craig Rd,Tg Pagar Rd,1.277694131,103.8437065
5431,Aft Tanjong Pagar Rd,Hoe Chiang Rd,1.27408,103.8420461
5519,Blk 1G,Cantonment Rd,1.275534722,103.8411269
5521,Maritime Hse,Cantonment Rd,1.276768611,103.8405922
5539,Opp Police Cantonment Cplx,Cantonment Rd,1.278515,103.840322
5629,Opp Southpoint,Cantonment Rd,1.273211389,103.84187
5631,Blk 16,Cantonment Link,1.273460559,103.8403472
5641,Bef Cantonment Rd,Keppel Rd,1.272723931,103.8414062
5649,Opp Customs Port Br HQ,Keppel Rd,1.272384212,103.8409391
