code,name,street,lat,lon,change_type,change_reason
01012,Hotel Grand Pacific,Victoria St,1.29684825487647,103.85253591654006,new,New bus stop code
01013,St. Joseph's Ch,Victoria St,1.29770970610083,103.8532247463225,new,New bus stop code
01019,Bras Basah Cplx,Victoria St,1.29698951191332,103.85302201172507,new,New bus stop code
01029,Opp Natl Lib,Nth Bridge Rd,1.2966729849642,103.85441422464267,new,New bus stop code
01039,Bugis Cube,Nth Bridge Rd,1.29820784139683,103.85549139837407,new,New bus stop code
01059,Bugis Stn Exit B,Victoria St,1.30075679526626,103.85611040457583,new,New bus stop code
01109,Queen St Ter,Queen St,1.30358577565355,103.85650372998224,new,New bus stop code
01112,Opp Bugis Stn Exit C,Victoria St,1.30009212839081,103.85520027125814,new,New bus stop code
01113,Bugis Stn Exit A,Victoria St,1.30117297541547,103.8561140106393,new,New bus stop code
01119,Aft Bugis Stn Exit C,Victoria St,1.2996041093804,103.85512934079571,new,New bus stop code
01121,Aft Victoria Ln,Victoria St,1.30393809691048,103.85867999243207,new,New bus stop code
01129,Bef Jln Pisang,Victoria St,1.30350269187301,103.85864530718491,new,New bus stop code
01139,Bugis Stn/Parkview Sq,Nth Bridge Rd,1.30033057855542,103.85716080665901,new,New bus stop code
01211,Opp Blk 461,Victoria St,1.30551803523268,103.8605449516032,new,New bus stop code
01219,Blk 461,Victoria St,1.30526598535719,103.86072019914616,new,New bus stop code
01229,Bef Sultan Mque,Nth Bridge Rd,1.30337552638813,103.85963089198265,new,New bus stop code
01231,Opp Textile Ctr,Jln Sultan,1.3032499999752,103.8610830559663,new,New bus stop code
01239,Sultan Plaza,Jln Sultan,1.30291236608351,103.86161817611134,new,New bus stop code
01311,Lavender Stn Exit B,Kallang Rd,1.3070916463394,103.86219695240973,new,New bus stop code
01319,Lavender Stn Exit A/ICA,Kallang Rd,1.30757426746418,103.86325596123476,new,New bus stop code
01329,Blk 8,Nth Bridge Rd,1.30495670239172,103.86363028484124,new,New bus stop code
01339,Bef Crawford Bridge,Crawford St,1.30774601733202,103.8642627465441,new,New bus stop code
01341,Southbank,Crawford St,1.30647555600578,103.86452527798744,new,New bus stop code
01349,Opp Blk 4,Crawford St,1.30568635716829,103.86543994417883,new,New bus stop code
