code,name,street,lat,lon,code_normalized,change_type,change_reason,old_name
07522,Jalan Besar S42 Boarding,Weld Rd,1.30475,103.855619,07522,new,New bus stop code,
27381,Blk 749,Jurong West St 75,1.348143,103.698209,27381,new,New bus stop code,
27389,Gek Poh Shop Ctr,Jurong West St 75,1.34845180903204,103.69810437813979,27389,new,New bus stop code,
27601,Bef Jurong West St 22,Bulim Walk,1.3543715,103.7047185,27601,new,New bus stop code,
27609,Aft Jurong West St 25,Bulim Walk,1.354514333,103.7045217,27609,new,New bus stop code,
27611,Bef Bulim Walk,Bulim Dr,1.357217,103.7039715,27611,new,New bus stop code,
27619,Aft Bulim Walk,Bulim Dr,1.356928,103.7033523,27619,new,New bus stop code,
40461,Blk 308A,Tengah Pk Ave,1.3618365,103.7382645,40461,new,New bus stop code,
40469,Blk 319A,Tengah Pk Ave,1.361852,103.738391,40469,new,New bus stop code,
40471,Blk 126A,Tengah Dr,1.35932597,103.7363365,40471,new,New bus stop code,
40479,Blk 307B,Tengah Dr,1.3595915,103.736422,40479,new,New bus stop code,
65791,Waterway Pr Sch,Punggol East,1.398805,103.919084,65791,new,New bus stop code,
67689,Sengkang Stn Exit C,Sengkang Sq,1.39071,103.895137,67689,new,New bus stop code,
67708,Opp Fernvale Plains,Fernvale St,1.398254,103.8804,67708,new,New bus stop code,
67759,Compassvale Int,Compassvale Rd,1.3912175,103.8971153,67759,new,New bus stop code,
70372,MacPherson S41 Boarding,Circuit Rd,1.326222,103.888436,70372,new,New bus stop code,
74951,Blk 962A,Tampines St 96,1.3396495,103.9380655,74951,new,New bus stop code,
01511,DUO,Beach Rd,1.29919826103807,103.85864518302436,01511,name_changed,Bus stop name changed,Opp The Gateway
03218,Prince Edward Rd Stn Exit 2,Shenton Way,1.2740788888387,103.84687388890413,03218,name_changed,Bus stop name changed,Opp MAS Bldg
04143,Bef Stamford Rd,Hill St,1.29411640848293,103.85020606905503,04143,name_changed,Bus stop name changed,Stamford Ct
05131,Opp Chinatown Stn,Upp Cross St,1.284073056,103.8453381,05131,name_changed,Bus stop name changed,Opp Hong Lim Cplx
05651,Aft Keppel Rd,Tg Pagar Rd,1.273218611,103.8430731,05651,name_changed,Bus stop name changed,Opp Fuji Xerox Twrs
06189,Aft Solomon St,Havelock Rd,1.28779136477868,103.84329428089559,06189,name_changed,Bus stop name changed,Ctrl Sq
07111,Aft Blk 672B,S'goon Rd,1.30879366465919,103.8531751994068,07111,name_changed,Bus stop name changed,Broadway Hotel
12201,Bet Clementi Loop,Clementi Ave 6,1.32670826856501,103.76399509585458,12201,name_changed,Bus stop name changed,LogisHub @ Clementi
12209,Opp Clementi Loop,Clementi Ave 6,1.32653202760922,103.76429968220569,12209,name_changed,Bus stop name changed,Opp LogisHub @ Clementi
14061,Opp Cantonment Stn Exit 4,Keppel Rd,1.27231269789239,103.83862035734883,14061,name_changed,Bus stop name changed,Opp Former Railway Stn
14069,Cantonment Stn Exit 4,Keppel Rd,1.272538056,103.8364069,14069,name_changed,Bus stop name changed,Former Railway Stn
14081,Keppel Stn Exit 3,Keppel Rd,1.270896111,103.8308919,14081,name_changed,Bus stop name changed,Tg Pagar DP Blk F5
14089,Keppel Stn Exit 2,Keppel Rd,1.27046005041763,103.829792773326,14089,name_changed,Bus stop name changed,Opp Tg Pagar DP Blk F5
20139,Bef West Coast Rise,West Coast Rd,1.31584166892255,103.75204376675156,20139,name_changed,Bus stop name changed,Opp Angliss Bldg
43409,Opp Blk 122,Bt Batok West Ave 3,1.35235542005389,103.74623591627208,43409,name_changed,Bus stop name changed,Opp Blk 127
43719,MINDEF Pick-Up/Drop-Off,Gombak Dr,1.36903972225026,103.76123388888554,43719,name_changed,Bus stop name changed,MINDEF CP
43721,MINDEF Pass Office,Gombak Dr,1.37076302526768,103.7626491371365,43721,name_changed,Bus stop name changed,Blk 319
44069,Blk 634 CP,Woodlands Rd,1.38592018696626,103.75717769160771,44069,name_changed,Bus stop name changed,Aft KJE Slip Rd
45181,Bef Mandai Quarry Rd,Mandai Rd,1.41163371804971,103.76126994848113,45181,name_changed,Bus stop name changed,Opp Mandai CD Trg Village
45189,Aft Mandai Quarry Rd,Mandai Rd,1.41134149901997,103.76099444217142,45189,name_changed,Bus stop name changed,Mandai CD Trg Village
45191,Opp Home Team Tactical Ctr,Mandai Rd,1.41064903489935,103.7634845917912,45191,name_changed,Bus stop name changed,Opp Mandai Police Trg Camp
45199,Home Team Tactical Ctr,Mandai Rd,1.41035479540467,103.76322407621203,45199,name_changed,Bus stop name changed,Mandai Police Trg Camp
45201,Opp Mandai Hill Camp,Mandai Rd,1.41047253271791,103.76582403754685,45201,name_changed,Bus stop name changed,Opp Police Tactical Trg Camp
45209,Aft Mandai Hill Camp,Mandai Rd,1.4099988110322,103.76653377102565,45209,name_changed,Bus stop name changed,Police Tactical Trg Camp
46041,Opp GlobalFoundries,Woodlands Rd,1.43664137008987,103.76405579624996,46041,name_changed,Bus stop name changed,Opp GLOBALFOUNDRIES
46049,GlobalFoundries,Woodlands Rd,1.43709,103.76476,46049,name_changed,Bus stop name changed,GLOBALFOUNDRIES
46059,GlobalFoundries/Aft BKE,Woodlands Rd,1.4387537800127,103.76656472079625,46059,name_changed,Bus stop name changed,GLOBALFOUNDRIES/Aft BKE
47549,Blk 693 CP,Woodlands Ave 6,1.4379048516895,103.80352352573782,47549,name_changed,Bus stop name changed,Opp Blk 639
47749,W'lands Hosp,Woodlands Dr 17,1.425821,103.793911,47749,name_changed,Bus stop name changed,W'lands Health Campus
48091,Aft Bath Rd,Mandai Rd,1.40274777797647,103.81238027797018,48091,name_changed,Bus stop name changed,SCDF Nee Soon Camp
48099,Aft Mandai Rd Track 7,Mandai Rd,1.4029276207034,103.81200115976088,48099,name_changed,Bus stop name changed,Opp SCDF Nee Soon Camp
49101,Aft Kranji Cl,Kranji Rd,1.43019265139167,103.75584633886155,49101,name_changed,Bus stop name changed,Opp Ordinance Supply Base
51109,Bef Dyson Rd,Whitley Rd,1.32709277800856,103.8397080559738,51109,name_changed,Bus stop name changed,Opp Old Police Acad
52069,Opp BCA Acad,Braddell Rd,1.34314389988912,103.85856611406128,52069,name_changed,Bus stop name changed,ComfortDelGro Corp Ltd
52241,Bef Caldecott Stn/SAVH,Toa Payoh Rise,1.33804611111505,103.8389949999753,52241,name_changed,Bus stop name changed,Blk 105
55051,Opp ST Engineering,Yio Chu Kang Rd,1.3924,103.848962,55051,name_changed,Bus stop name changed,Opp ST Electronics
55059,ST Engineering,Yio Chu Kang Rd,1.3920822654425,103.84909518015897,55059,name_changed,Bus stop name changed,ST Electronics
58069,Blk 101A,Sembawang Rd,1.452187,103.830428,58069,name_changed,Bus stop name changed,Opp Durban Rd
59809,Blk 483B,Yishun Ave 6,1.431761,103.847993,59809,name_changed,Bus stop name changed,Opp Blk 382C
