Change Type,Date Changed,Bus Stop Code,New Name,Previous Name,Street/Road
NAME_CHANGED,01/09/2025,4019,Opp Bencoolen Stn Exit B,OPP BENCOOLEN STN EXIT B,Bencoolen St
NAME_CHANGED,01/09/2025,4029,Bef Bencoolen Stn Exit A,BEF BENCOOLEN STN EXIT A,Bencoolen St
NAME_CHANGED,01/09/2025,4151,Cath of The Good Shepherd,Cath Of The Good Shepherd,Victoria St
NAME_CHANGED,01/09/2025,4159,Aft CHIJMES,Aft Chijmes,Victoria St
NAME_CHANGED,01/09/2025,4331,Bef Fort Canning Stn,BEF FORT CANNING STN,River Valley Rd
NAME_CHANGED,01/09/2025,4339,Fort Canning Stn Exit B,FORT CANNING STN EXIT B,River Valley Rd
NAME_CHANGED,01/09/2025,5012,Bef Pearl's Hill Terr,Bef Pearl'S Hill Terr,Eu Tong Sen St
NAME_CHANGED,01/09/2025,5239,Bef The Pinnacle @Duxton,Bef The Pinnacle@Duxton,Neil Rd
NAME_CHANGED,01/09/2025,6049,Bef Outram Flyover,BEF OUTRAM FLYOVER,Outram Rd
NAME_CHANGED,01/09/2025,7241,Bef S'goon Rd,Bef S'Goon Rd,Lavender St
NAME_CHANGED,01/09/2025,7351,Arc 380,ARC 380,Lavender St
NAME_CHANGED,01/09/2025,7359,Opp Arc 380,OPP ARC 380,Lavender St
NAME_CHANGED,01/09/2025,7517,ibis S'pore on Bencoolen,IBIS S'PORE ON BENCOOLEN,Bencoolen St
NAME_CHANGED,01/09/2025,7518,Opp NAFA Campus 3,OPP NAFA CAMPUS 3,Bencoolen St
NAME_CHANGED,01/09/2025,7529,Jln Besar Stn Exit A,JLN BESAR STN EXIT A,Jln Besar
NAME_CHANGED,01/09/2025,7571,Sunshine Plaza,SUNSHINE PLAZA,Middle Rd
NAME_CHANGED,01/09/2025,8079,Sch of The Arts,Sch of the Arts,Prinsep St
NAME_CHANGED,01/09/2025,10011,Bef Neil Rd,BEF NEIL RD,New Bridge Rd
NAME_CHANGED,01/09/2025,10041,Bef Kampong Bahru Ter,BEF KAMPONG BAHRU TER,Kg Bahru Rd
