Change Type,Date Added,Bus Stop Code,Bus Stop Name,Street/Road,Latitude,Longitude
NEW,05/01/2026,2051,The Float @ Marina Bay,Raffles Ave,1.289503056,103.8590339
NEW,05/01/2026,29161,Bef Pandan Rd,Jln Buroh,1.305051,103.7501045
NEW,05/01/2026,40281,Blk 467B,Bukit Batok West Avenue 9,1.356067,103.743617
NEW,05/01/2026,40289,Opp Blk 467B,Bukit Batok West Avenue 9,1.355843,103.743394
NEW,05/01/2026,40491,Bef Plantation Cres,Tengah Garden Ave,1.3529839,103.733645
NEW,05/01/2026,40499,Aft Plantation Cres,Tengah Garden Ave,1.35312,103.733401
NEW,05/01/2026,40509,Opp Blk 131D,Tengah Garden Ave,1.35439,103.7322
NEW,05/01/2026,43551,Opp Blk 435A,Bt Batok West Ave 5,1.359789,103.740915
NEW,05/01/2026,43559,Bef Blk 435A,Bt Batok West Ave 5,1.359264,103.741387
NEW,05/01/2026,47721,Blk 568B,Woodlands Dr 17,1.427909,103.790055
NEW,05/01/2026,58469,Opp Innova Pr Sch,Champions Way,1.429821,103.790446
NEW,05/01/2026,62301,Blk 181,Hougang St 13,1.346168,103.887806
NEW,05/01/2026,62309,Blk 178A,Hougang St 13,1.346389,103.887888
NEW,05/01/2026,63119,Aft Hougang Ave 1,Tampines Rd,1.360591,103.886919
NEW,05/01/2026,65669,Northshore Pr Sch,Northshore Dr,1.41874,103.905114
NEW,05/01/2026,65799,Blk 654D,Punggol East,1.398633889,103.9191989
NEW,05/01/2026,66701,Goldenhill Pk Condo,Lor Chuan,1.352218,103.862853
NEW,05/01/2026,66709,Lor Chuan Stn Exit B,Lor Chuan,1.352149,103.863065
NEW,05/01/2026,67709,Opp Blk 465A,Fernvale St,1.398734,103.87682
NEW,05/01/2026,67749,Thanggam Stn Exit A,Fernvale Rd,1.396944,103.8755543
NEW,05/01/2026,67771,Blk 995B,Buangkok Dr,1.386549,103.8833
NEW,05/01/2026,67779,Opp Blk 995C,Buangkok Dr,1.386616,103.8835
NEW,05/01/2026,67781,Opp Blk 408A,Buangkok Dr,1.388311,103.87674
NEW,05/01/2026,67789,Blk 409A,Buangkok Dr,1.388633,103.877235
NEW,05/01/2026,67791,Opp Blk 415A,Buangkok Dr,1.388434,103.8798
NEW,05/01/2026,67799,Blk 415A,Buangkok Dr,1.388615,103.8798
NEW,05/01/2026,69091,Opp Blk 227,Sang Nila Utama,1.339682,103.8760221
NEW,05/01/2026,74941,Opp Blk 961A,Bedok Reservoir Rd,1.3402645,103.9361875
NEW,05/01/2026,74949,Blk 961A,Bedok Reservoir Rd,1.340276,103.936345
NEW,05/01/2026,74961,Blk 966,Tampines St 96,1.338423,103.939921
NEW,05/01/2026,74969,Opp Blk 966,Tampines St 96,1.3384905,103.9401585
NEW,05/01/2026,74979,Blk 967A,Tampines St 95,1.341129,103.9396815
