code,road_name,bus_description,bus_services,mrt_lrt_station,success,timestamp
40479,Tengah Dr,Blk 307B,"97, 97, 97e, 97e",,True,2026-04-27T02:45:34.662613
40471,Tengah Dr,Blk 126A,"97, 97, 97e, 97e",,True,2026-04-27T02:45:34.989585
40469,Tengah Pk Ave,Blk 319A,"831G, 831G",,True,2026-04-27T02:45:35.149417
40461,Tengah Pk Ave,Blk 308A,"831W, 831W",,True,2026-04-27T02:45:34.170750
67689,Sengkang Sq,Sengkang Stn Exit C,"372, 372, 374, 374",,True,2026-04-27T02:45:42.141106
53232,,,,,False,2026-04-27T02:45:42.514347
67759,Compassvale Rd,Compassvale Int,"80, 80, 80A, 80A, 86, 86, 87, 87, 372, 372, 374, 374",,True,2026-04-27T02:45:42.937877
67708,,,,,False,2026-04-27T02:45:43.425417
05651,Tg Pagar Rd,Aft Keppel Rd,"80, 80, 145, 145",,True,2026-04-27T02:45:48.819186
74951,Tampines St 96,Blk 962A,"18M, 18M",,True,2026-04-27T02:45:49.495895
05131,Upp Cross St,Opp Chinatown Stn,"51, 51, 63, 63, 124, 124, 174, 174, 174e, 174e, 186, 186, 851, 851, 851e, 851e, 961, 961, 961M, 961M, 970, 970",,True,2026-04-27T02:45:49.908903
07111,S'goon Rd,Aft Blk 672B,"23, 23, 64, 64, 65, 65, 67, 67, 131, 131, 139, 139, 147, 147, 857, 857",,True,2026-04-27T02:45:50.779222
16099,AYE,Opp NUS Sports Centre,"97, 97, 197, 197, 198, 198, 963, 963, 963e, 963e",,True,2026-04-27T02:45:55.423420
16091,AYE,NUS Sports Centre,"97, 97, 197, 197, 198, 198, 963, 963, 963e, 963e",,True,2026-04-27T02:45:56.067506
20139,West Coast Rd,Bef West Coast Rise,"30, 30, 51, 51, 143, 143, 176, 176, 655, 655",,True,2026-04-27T02:45:57.273063
43719,Gombak Dr,MINDEF Pick-Up/Drop-Off,"177, 177",,True,2026-04-27T02:45:58.233356
43721,Gombak Dr,MINDEF Pass Office,"177, 177",,True,2026-04-27T02:46:02.907085
45181,Mandai Rd,Bef Mandai Quarry Rd,"927, 927",,True,2026-04-27T02:46:03.448627
45189,Mandai Rd,Aft Mandai Quarry Rd,"927, 927",,True,2026-04-27T02:46:04.552892
45191,Mandai Rd,Opp Home Team Tactical Ctr,"927, 927",,True,2026-04-27T02:46:05.755731
